,county,state,Lon,Lat
0,Snohomish,Washington,-122.0899646,47.9180275
1,Cook,Illinois,-87.756525,41.8197385
2,Orange,California,-117.8704931,33.7500378
3,Maricopa,Arizona,-112.49123,33.34883
4,Los Angeles,California,-118.242766,34.0536909
5,Santa Clara,California,-121.6846349,37.2333253
6,Suffolk,Massachusetts,-70.9788771,42.3544455
7,San Francisco,California,-122.419906,37.7790262
8,Dane,Wisconsin,-89.5015088,43.2505472
9,San Diego,California,-117.1627728,32.7174202
10,Bexar,Texas,-98.5104781,29.4263987
11,Douglas,Nebraska,-96.1415672,41.2954112
12,Humboldt,California,-123.8997734,40.5997415
13,Sacramento,California,-121.493895,38.5810606
14,Solano,California,-121.9163555,38.2218938
15,Spokane,Washington,-117.4235106,47.6571934
16,Salt Lake,Utah,-111.9103124,40.6632297
17,Marin,California,-122.6199638,38.0409144
18,Napa,California,-122.2855293,38.2971367
19,Sonoma,California,-122.8473388,38.5110803
20,Washington,Oregon,-121.6457427,47.8453492
21,King,Washington,-76.9972182,38.8458171
22,Alameda,California,-121.899142,37.6090291
23,Hillsborough,Florida,-82.3488057,27.9184543
24,Manatee,Florida,-82.3801566,27.5213933
25,New York City,New York,-74.0060152,40.7127281
26,Unknown,Rhode Island,-71.3078734,41.4844213
27,Placer,California,-120.7650606,39.1012064
28,San Mateo,California,-122.3330573,37.496904
29,Fulton,Georgia,-84.2961283,34.0580391
30,Norfolk,Massachusetts,-71.3250564,42.1195426
31,Grafton,New Hampshire,-71.946716,43.562979
32,Walla Walla,Washington,-118.3393456,46.0667277
33,Contra Costa,California,-121.9175345,37.9034806
34,Wake,North Carolina,-82.5538262,35.5877538
35,Bergen,New Jersey,-74.0656969,40.7292686
36,Westchester,New York,-73.7907554,41.1763139
37,Fort Bend,Texas,-95.7807348,29.511218
38,Chelan,Washington,-120.0164591,47.8409698
39,Douglas,Colorado,-104.9468945,39.3420437
40,Jefferson,Colorado,-105.2561919,39.5699803
41,Santa Rosa,Florida,-87.0097524,30.6964502
42,Montgomery,Maryland,-77.2075612,39.1406267
43,Middlesex,Massachusetts,-71.09664602558988,42.3582393
44,Clark,Nevada,-115.0907378,36.3467726
45,Washoe,Nevada,-119.6131606,40.5849048
46,Nassau,New York,-73.6101159,42.5159145
47,Williamson,Tennessee,-86.8978708,35.8772991
48,Harris,Texas,-95.3741247,29.8119769
49,Pinal,Arizona,-111.4426212,32.8085851
50,Yolo,California,-121.9059001,38.7184542
51,Denver,Colorado,-104.9848623,39.7392364
52,Eagle,Colorado,-106.7172844,39.6161124
53,El Paso,Colorado,-104.5253456,38.8287435
54,Broward,Florida,-80.4623642,26.1598074
55,Lee,Florida,-81.8823135,26.5999265
56,Polk,Georgia,-85.1567475,33.9981581
57,Honolulu,Hawaii,-157.8556764,21.304547
58,Marion,Indiana,-85.6591442,40.5583739
59,Fayette,Kentucky,-87.6583488,36.658382
60,Ramsey,Minnesota,-93.0949501,45.0165728
61,Camden,New Jersey,-75.1198911,39.9448402
62,Rockland,New York,-74.0357266,41.1519319
63,Chatham,North Carolina,-80.96801880273804,36.416494650000004
64,Tulsa,Oklahoma,-95.9929113,36.1556805
